rec_id_l,given_name,surname,street_number_l,address_1_l,address_2_l,suburb_l,postcode_l,state_l,date_of_birth_l,soc_sec_id_l,rec_id_r,street_number_r,address_1_r,address_2_r,suburb_r,postcode_r,state_r,date_of_birth_r,soc_sec_id_r,surname_l,date_of_birth,surname_r,given_name_l,postcode,given_name_r,suburb,soc_sec_id,true_match,jaro_winkler_given_name,jaro_winkler_surname,levenshtein_given_name,levenshtein_surname,full_name_similarity,dob_l_dt,dob_r_dt,dob_exact_match,dob_year_match,dob_month_match,dob_day_diff,postcode_exact_match,suburb_exact_match,state_exact_match,address_similarity,soc_sec_exact_match,name_and_dob_score,address_score,ml_match_probability
rec-1016-org,courtney,painter,12.0,pinkerton circuit,bega flats,richlands,4560.0,vic,1970-01-01,4066625.0,rec-1016-dup-0,12.0,pinkerton circuit,,richlands,4560.0,vci,1970-01-01,4066625.0,,,,,,,,,1,1.0,1.0,1.0,1.0,1.0,1970-01-01,1970-01-01,1,1,1,0.0,1,1,0,1.0,1,1.0,0.6666666666666666,1.0
rec-4405-org,charles,green,38.0,salkauskas crescent,kela,dapto,4566.0,nsw,1970-01-01,4365168.0,rec-4405-dup-0,38.0,salkauskas crescent,klea,dapto,4566.0,nsw,1970-01-01,4365168.0,,,,,,,,,1,1.0,1.0,1.0,1.0,1.0,1970-01-01,1970-01-01,1,1,1,0.0,1,1,1,1.0,1,1.0,1.0,1.0
rec-1288-org,vanessa,parr,905.0,macquoid place,broadbridge manor,south grafton,2135.0,sa,1970-01-01,9239102.0,rec-1288-dup-0,905.0,macquoid place,broadbridge manor,south qrafton,2135.0,sa,1970-01-01,9239102.0,,,,,,,,,1,1.0,1.0,1.0,1.0,1.0,1970-01-01,1970-01-01,1,1,1,0.0,1,0,1,1.0,1,1.0,0.6666666666666666,1.0
rec-3585-org,mikayla,malloney,37.0,randwick road,avalind,hoppers crossing,4552.0,vic,1970-01-01,7207688.0,rec-3585-dup-0,37.0,randwick road,avalsnd,hoppers crossing,4552.0,vic,1970-01-01,7207688.0,,,,,,,,,1,1.0,1.0,1.0,1.0,1.0,1970-01-01,1970-01-01,1,1,1,0.0,1,1,1,1.0,1,1.0,1.0,1.0
rec-298-org,blake,howie,1.0,cutlack street,belmont park belted galloway stud,budgewoi,6017.0,vic,1970-01-01,5180548.0,rec-298-dup-0,1.0,belmont park belted galloway stud,cutlack street,budgewoi,6071.0,vic,1970-01-01,5180548.0,,,,,,,,,1,1.0,1.0,1.0,1.0,1.0,1970-01-01,1970-01-01,1,1,1,0.0,0,1,1,0.5274170274170275,1,1.0,0.6666666666666666,1.0
rec-1985-org,,lund,109.0,caley crescent,allandale aged care facility,mill park,4053.0,nsw,1970-01-01,7074690.0,rec-1985-dup-0,287.0,caley crescent,allandale agedc are facility,mill aprk,4053.0,nsw,1970-01-01,7074690.0,,,,,,,,,1,1.0,1.0,1.0,1.0,1.0,1970-01-01,1970-01-01,1,1,1,0.0,1,0,1,1.0,1,1.0,0.6666666666666666,1.0
rec-2404-org,blakeston,broadby,53.0,traeger street,valley of springs,north ward,3083.0,qld,1970-01-01,4308555.0,rec-2404-dup-0,53.0,traeger street,valley of springs,north ward,3083.0,,1970-01-01,4308555.0,,,,,,,,,1,1.0,1.0,1.0,1.0,1.0,1970-01-01,1970-01-01,1,1,1,0.0,1,1,0,1.0,1,1.0,0.6666666666666666,1.0
rec-1473-org,,leslie,925.0,carpenter close,,canterbury,2340.0,vic,1970-01-01,2438058.0,rec-1473-dup-0,952.0,carpenter close,,cantebrry,2340.0,vic,1970-01-01,2438058.0,,,,,,,,,1,1.0,1.0,1.0,1.0,1.0,1970-01-01,1970-01-01,1,1,1,0.0,1,0,1,1.0,1,1.0,0.6666666666666666,1.0
rec-453-org,edward,denholm,10.0,corin place,gold tyne,clayfield,4221.0,vic,1970-01-01,7119771.0,rec-453-dup-0,10.0,corin place,goldt yne,clayfield,4221.0,vic,1970-01-01,7119771.0,,,,,,,,,1,1.0,1.0,1.0,1.0,1.0,1970-01-01,1970-01-01,1,1,1,0.0,1,1,1,1.0,1,1.0,1.0,1.0
rec-4866-org,charlie,alderson,266.0,hawkesbury crescent,deergarden caravn park,cooma,4128.0,vic,1970-01-01,1256748.0,rec-4866-dup-0,266.0,,deergarden caravn park,cooma,4128.0,vic,1970-01-01,1256748.0,,,,,,,,,1,1.0,1.0,1.0,1.0,1.0,1970-01-01,1970-01-01,1,1,1,0.0,1,1,1,0.0,1,1.0,1.0,1.0
rec-4302-org,molly,roche,59.0,willoughby crescent,donna valley,carrara,4825.0,nsw,1970-01-01,1847058.0,rec-4302-dup-0,59.0,willoughby crescent,donna vblaley,carrxara,4825.0,nsw,1970-01-01,1847058.0,,,,,,,,,1,1.0,1.0,1.0,1.0,1.0,1970-01-01,1970-01-01,1,1,1,0.0,1,0,1,1.0,1,1.0,0.6666666666666666,1.0
rec-420-org,kate,stephenson,8.0,sinclair street,brentwood vlge,ryde,5333.0,sa,1970-01-01,4182623.0,rec-420-dup-0,8.0,sinclair street,,ryde,5333.0,nsw,1970-01-01,4182623.0,,,,,,,,,1,1.0,1.0,1.0,1.0,1.0,1970-01-01,1970-01-01,1,1,1,0.0,1,1,0,1.0,1,1.0,0.6666666666666666,1.0
rec-3440-org,matthew,bissett,11.0,cowcher place,kassingbrook,surfers paradise,4037.0,vic,1970-01-01,5435247.0,rec-3440-dup-0,11.0,cowcher dlace,kassingbrook,surfers paradise,4073.0,vic,1970-01-01,5435247.0,,,,,,,,,1,1.0,1.0,1.0,1.0,1.0,1970-01-01,1970-01-01,1,1,1,0.0,0,1,1,0.9692307692307692,1,1.0,0.6666666666666666,1.0
rec-4028-org,lachlan,godfrey,45.0,lienhop street,sorrento,lalor,2350.0,sa,1970-01-01,9107241.0,rec-4028-dup-0,45.0,lienhop street,sorretno,lalor,2350.0,sa,1970-01-01,9107241.0,,,,,,,,,1,1.0,1.0,1.0,1.0,1.0,1970-01-01,1970-01-01,1,1,1,0.0,1,1,1,1.0,1,1.0,1.0,1.0
rec-1363-org,campbell,clarke,14.0,wootton crescent,the manor garden,northmead,3265.0,vic,1970-01-01,7658745.0,rec-1363-dup-0,14.0,wootton crescent,the manor garden,northmead,3625.0,vic,1970-01-01,7658745.0,,,,,,,,,1,1.0,1.0,1.0,1.0,1.0,1970-01-01,1970-01-01,1,1,1,0.0,0,1,1,1.0,1,1.0,0.6666666666666666,1.0
rec-4641-org,jessica,weller,318.0,bishopbourne court,lismore road,padstow,2191.0,nsw,1970-01-01,4837774.0,rec-4641-dup-0,318.0,,lismore road,padstow,2191.0,nsw,1970-01-01,4837774.0,,,,,,,,,1,1.0,1.0,1.0,1.0,1.0,1970-01-01,1970-01-01,1,1,1,0.0,1,1,1,0.0,1,1.0,1.0,1.0
rec-1300-org,joshua,corbin,83.0,tweed place,five oaks,keilor,4818.0,nsw,1970-01-01,7955748.0,rec-1300-dup-0,83.0,fiveboafks,tweed pvlace,keilor,4718.0,nsw,1970-01-01,7955748.0,,,,,,,,,1,1.0,1.0,1.0,1.0,1.0,1970-01-01,1970-01-01,1,1,1,0.0,0,1,1,0.46060606060606063,1,1.0,0.6666666666666666,1.0
rec-4178-org,caitlin,basey,414.0,pelsart street,st francis vlge,daisy hill,2113.0,nsw,1970-01-01,7811311.0,rec-4178-dup-0,414.0,pelsart street,st francis vlge,daisyh ill,2113.0,nsw,1970-01-01,7811311.0,,,,,,,,,1,1.0,1.0,1.0,1.0,1.0,1970-01-01,1970-01-01,1,1,1,0.0,1,0,1,1.0,1,1.0,0.6666666666666666,1.0
rec-4878-org,,lowry,6.0,hadleigh circuit,rowethorpe,rossmoyne,2770.0,sa,1970-01-01,6616912.0,rec-4878-dup-0,80.0,kinchela crescent,rowethorpe,rossmoyne,2770.0,qld,1970-01-01,6616912.0,,,,,,,,,1,1.0,1.0,1.0,1.0,1.0,1970-01-01,1970-01-01,1,1,1,0.0,1,1,0,0.6044117647058824,1,1.0,0.6666666666666666,1.0
rec-2330-org,sebastian,mcneill,3.0,dryandra street,ferndale,west lakes,2265.0,vic,,2765960.0,rec-2330-dup-0,3.0,ferndale,dryandra street,west lakes,2265.0,vic,,2765960.0,,,,,,,,,1,1.0,1.0,1.0,1.0,1.0,,,1,0,0,999.0,1,1,1,0.5194444444444444,1,1.0,1.0,1.0
