rec_id_l,given_name,surname,street_number_l,address_1_l,address_2_l,suburb_l,postcode_l,state_l,date_of_birth_l,soc_sec_id_l,rec_id_r,street_number_r,address_1_r,address_2_r,suburb_r,postcode_r,state_r,date_of_birth_r,soc_sec_id_r,surname_l,date_of_birth,surname_r,given_name_l,postcode,given_name_r,suburb,soc_sec_id,true_match,jaro_winkler_given_name,jaro_winkler_surname,levenshtein_given_name,levenshtein_surname,full_name_similarity,dob_l_dt,dob_r_dt,dob_exact_match,dob_year_match,dob_month_match,dob_day_diff,postcode_exact_match,suburb_exact_match,state_exact_match,address_similarity,soc_sec_exact_match,name_and_dob_score,address_score,ml_match_probability
rec-3966-org,james,truman,4.0,knoke avenue,red hills,wallsend,4221.0,act,1970-01-01,7208464.0,rec-3966-dup-0,4.0,shirra close,red hils,wallsgend,4212.0,act,1970-01-01,9244854.0,,,,,,,,,1,1.0,1.0,1.0,1.0,1.0,1970-01-01,1970-01-01,1,1,1,0.0,0,0,1,0.38888888888888884,0,1.0,0.3333333333333333,0.55
rec-3757-org,bailey,,1.0,goodman street,nioka,plympton south,4214.0,qld,,3547315.0,rec-3757-dup-0,1.0,niok da,goodmanstreet,plymptonsouth,4214.0,,,3547315.0,petersen,1970-01-01,petresn,,,,,,1,1.0,0.9375,1.0,0.625,0.9651515151515152,,,0,0,0,999.0,1,0,0,0.557142857142857,1,0.4825757575757576,0.3333333333333333,0.87
rec-2212-org,samuel,,28.0,louis loder street,grant patch,naremburn,4055.0,sa,,5061165.0,rec-2212-dup-0,28.0,louis lodersstreet,grant patch,naremburn,4005.0,sa,,5061265.0,goldsworthy,1970-01-01,hobson,,,,,,1,1.0,0.5909090909090909,1.0,0.2727272727272727,0.8333333333333334,,,0,0,0,999.0,0,1,1,0.9777777777777777,0,0.4166666666666667,0.6666666666666666,0.86
rec-1062-org,dale,,20.0,sturt avenue,unt 2,,6110.0,nsw,,6503115.0,rec-1062-dup-0,20.0,sturt avenue,,,6110.0,nws,,6503215.0,dietrich,1970-01-01,polmeapr,,,,,,1,1.0,0.5,1.0,0.0,0.6666666666666666,,,0,0,0,999.0,1,1,0,1.0,0,0.3333333333333333,0.6666666666666666,0.83
rec-2256-org,delaney,,3.0,weavell place,tilbrook,robina,7018.0,tas,,8250056.0,rec-2256-dup-0,3.0,weavell place,tilbrogk,,7018.0,tas,,7613275.0,kiernan,1970-01-01,majetic,,,,,,1,1.0,0.42857142857142855,1.0,0.0,0.8259740259740259,,,0,0,0,999.0,1,0,1,1.0,0,0.41298701298701296,0.6666666666666666,0.84
rec-4351-org,leon,,25.0,antill street,upper green farm,laverton,2115.0,sa,,3910447.0,rec-4351-dup-0,25.0,upper green farm,antill xtreet,laverton,2115.0,sa,,3910047.0,mandica,1970-01-01,clarke,,,,,,1,1.0,0.4365079365079365,1.0,0.0,0.6515151515151515,,,0,0,0,999.0,1,1,1,0.4358974358974359,0,0.32575757575757575,1.0,0.88
rec-1068-org,joshua,,16.0,gabriel place,greglea village,lobethal,5162.0,qld,,4173804.0,rec-1068-dup-0,16.0,greglea village,gabriel place,lobethal,5126.0,qld,,4178304.0,dolan,1970-01-01,cupo,,,,,,1,1.0,0.0,1.0,0.0,0.836111111111111,,,0,0,0,999.0,0,1,1,0.7407692307692308,0,0.4180555555555555,0.6666666666666666,0.7
rec-3907-org,timothy,,21.0,grund place,brentwood vlge,robina,2603.0,vic,,2476704.0,rec-3907-dup-0,21.0,grund p lace,brentwood vlge,blackmans bay,2603.0,vic,,2476740.0,botham,1970-01-01,haythorpe,,,,,,1,1.0,0.5,1.0,0.2222222222222222,0.8330769230769232,,,0,0,0,999.0,1,0,1,0.9833333333333333,0,0.4165384615384616,0.6666666666666666,0.82
rec-1349-org,,,101.0,elkington street,witsend,,6058.0,sa,,7721398.0,rec-1349-dup-0,101.0,elkington street,witsend,,6085.0,sk,,5764782.0,boothroyd,1970-01-01,boothroyd,daniella,,lachlan,waterloo,,1,0.6011904761904762,1.0,0.25,1.0,0.8607843137254902,,,0,0,0,999.0,0,0,0,1.0,0,0.4303921568627451,0.0,0.86
rec-2016-org,,,545.0,hawkesbury crescent,doubtful ck,,3137.0,qld,,1583941.0,rec-2016-dup-0,545.0,hawkesbury crescent,doubtful ck,,3138.0,qld,,1583491.0,mason,1970-01-01,leo n,leon,,mason,ballina,,1,0.6333333333333333,0.6,0.4,0.19999999999999996,0.6515151515151515,,,0,0,0,999.0,0,0,1,1.0,0,0.32575757575757575,0.3333333333333333,0.54
